director,director_score
Matthew Bright,0
Scott Hicks,5
Bronwen Hughes,4
Gilbert Adler,0
Rick Friedberg,3
Jerry Zaks,0
Arlene Sanford,0
Tim Pope,3
Julian Schnabel,4
Jean-Claude Van Damme,4
Lisa Krueger,0
Hettie Macdonald,3
Michael Winterbottom,0
Larry Bishop,0
Olivier Assayas,3
Annette Haywood-Carter,3
John Gray,0
David R. Ellis,5
John Payson,0
Eric Schaeffer,0
Greg Mottola,5
Alexander Payne,5
Susan Streitfeld,3
Martin Lawrence,4
Lynne Stopkewich,3
Dan Ireland,0
Michael Goldenberg,4
Matt Reeves,5
Farhad Mann,0
Reb Braddock,0
Steven Baigelman,3
Mary Harron,4
Larry Leker,3
Robert Harling,4
Jim Wilson,1
Bill Bennett,4
Dale Rosenbloom,3
Matthew Broderick,3
Alan Mehrez,3
Doug Ellin,4
Tom DeCerchio,3
Bill Couturié,0
Jay Roach,5
Simon West,5
Raja Gosnell,5
Andrew Niccol,5
Jim Gillespie,4
Jean-Pierre Jeunet,5
Vincenzo Natali,0
Brian Robbins,5
Satoshi Kon,3
Peter Cattaneo,5
Mark A.Z. Dippé,4
David Mirkin,4
Harmony Korine,4
Jonathan Mostow,5
Stephen Kessler,4
John R. Leonetti,5
Bob Spiers,4
Mimi Leder,5
Jill Sprecher,3
Lance Young,3
