star,star_score
Dermot Mulroney,5
Mary McDonnell,3
Emmanuel Salinger,0
Trisha Todd,0
Meg Ryan,5
Samuel Fröler,3
Ray Liotta,0
Dolly Parton,4
Chao-jung Chen,1
Mike Dytri,3
Robert John Burke,0
Maxime Collin,3
Michael Rapaport,3
Mansour Diouf,1
Charlotte Véry,1
Peter Greene,0
Tomorô Taguchi,0
Jason Scott Lee,4
Andie MacDowell,0
Penelope Ann Miller,0
Julie Kavner,3
Robert Wuhl,3
Bronson Pinchot,3
Helena Bergström,4
Leigh McCormack,1
Jet Li,5
Tom Guiry,4
Jason London,3
David Thewlis,4
Danny Elfman,5
Thomas Ian Nicholas,4
Damian Chapa,0
Tyrin Turner,4
Kate Maberly,4
Jason James Richter,5
Warwick Davis,4
Angela Bassett,4
Pauly Shore,5
Kent McCord,0
John D. LeMay,4
Diedrich Bader,4
Federico Luppi,0
Dominique Horwitz,3
Shane McDermott,3
Janet Jackson,5
Tamlyn Tomita,4
Charlotte Gainsbourg,4
Kevin Conroy,3
Max von Sydow,4
Ashley Judd,5
Will Smith,5
Jesse Bradford,4
Ernie Reyes Sr.,3
Christian Clavier,3
Elijah Wood,5
Mark Dacascos,0
Angel Aviles,3
Chris Rock,5
Jason Priestley,0
Hiep Thi Le,0
Alan Arkin,3
Michael Crawford,0
Uma Thurman,5
Andrew Lowery,0
Nu Yên-Khê Tran,3
Karina Lombard,3
Rongguang Yu,3
Otto Sander,0
Reese Witherspoon,5
Winston Chao,3
Paul Gross,0
Dennis Haysbert,1
Rip Torn,3
Diane Ladd,3
Tatsuo Matsumura,0
Nanni Moretti,4
James Duval,3
Kim Vithana,3
Alan Bates,1
Darci Kistler,0
Brad Johnson,0
Derek Jarman,0
Larry B. Scott,0
Eric Christmas,0
Jacob Tierney,0
Jean Reno,4
Jim Carrey,5
Travis Tedford,4
Woody Harrelson,4
Brigitte Lin,3
Melanie Lynskey,0
Brian O'Halloran,4
Jonathan Jackson,4
Linda Fiorentino,3
Patrick Stewart,5
Lara Flynn Boyle,0
Renée Zellweger,5
Toni Collette,5
Brian Bonsall,4
Marisa Tomei,4
Rena Owen,3
Dana Delany,0
Tim Allen,5
Ralph Fiennes,5
Zbigniew Zamachowski,3
Emmanuelle Béart,3
Bruce Greenwood,0
Robert Patrick,0
Jeremy Piven,4
Massimo Troisi,4
Luke Perry,4
Nigel Hawthorne,0
Antonio Banderas,5
Jeni Courtney,3
Duane Martin,4
G.W. Bailey,0
Luke Edwards,4
Sophia Loren,0
Alfre Woodard,0
Jeremy Davies,0
Richard Attenborough,4
Jack Palance,0
Allen Payne,3
Sihung Lung,4
Tina Majorino,4
Rupert Everett,3
Brad Dourif,3
Chris Elliott,0
Sean Bean,4
Mackenzie Astin,4
Mohamad Ali Keshavarz,0
You Ge,3
Denis Leary,5
Julia Sweeney,1
Thora Birch,3
Sean Nelson,3
Kevin Spacey,5
Gunnar Hansen,0
Stefano Dionisi,3
Linus Roache,3
Taylor Nichols,3
Katrin Cartlidge,0
Nikita Mikhalkov,0
Gregg Fitzgerald,1
Jack Thompson,0
Brian Benben,0
Larenz Tate,4
Patricia Arquette,4
Adam Beach,0
Lisa Donaldson,1
Alicia Silverstone,4
Laura Linney,5
Leo Fitzpatrick,3
Shannen Doherty,0
Elizabeth Berkley,0
Ice Cube,5
Emma Thompson,5
Leonardo DiCaprio,5
Adam Sandler,5
Karan Ashley,4
Natasha Henstridge,5
Jonny Lee Miller,0
Vincent Cassel,3
Tom McGowan,4
Lori Petty,0
Christina Ricci,4
Bill Farmer,4
Atsuko Tanaka,3
Sandra Bullock,5
Chris Farley,4
James Cromwell,5
Ron Perlman,5
Liesel Matthews,0
David Caruso,0
Schuyler Fisk,3
Whitney Houston,5
Heather Matarazzo,3
Hal Scardino,0
Josh Hamilton,3
Billy Zane,0
Jonathan Taylor Thomas,4
Clarence Williams III,3
Pascale Bussières,3
Predrag 'Miki' Manojlovic,0
William Baldwin,0
Matt Frewer,3
Julianne Moore,5
Chris O'Donnell,0
Ian McKellen,5
Álex Angulo,0
Audie England,1
Pruitt Taylor Vince,3
Mark Rylance,4
Joseph Mazzello,0
Olivier Martinez,3
Fanny Ardant,4
Jimmy Smits,3
Jack Mulcahy,4
Cameron Diaz,5
Daniel Stern,4
Lili Taylor,3
Marisa Paredes,3
Steven Weber,3
Charlie Talbert,3
Parker Posey,0
Sinbad,4
Ian Hart,3
Laurel Holloman,3
Max Grodénchik,0
Shar-Ron Corley,0
Sergio Castellitto,3
Virginie Ledoyen,3
Sarah Jessica Parker,5
Willeke van Ammelrooy,3
Kadeem Hardison,3
Michael Jordan,5
Neve Campbell,5
William H. Macy,5
Ewan McGregor,5
Helen Hunt,5
Matthew McConaughey,5
Robin Tunney,4
Mark Wahlberg,5
Luke Wilson,3
Jennifer Tilly,4
Billy Bob Thornton,5
Vince Vaughn,5
Shawn Wayans,4
Philip Baker Hall,0
Tony Shalhoub,4
Jada Pinkett Smith,4
Paul Terry,0
Gwyneth Paltrow,5
Naveen Andrews,3
Kim Bodnia,1
Christopher Guest,4
Timothy Spall,3
Mike Judge,4
Pamela Anderson,0
Emily Watson,4
Teri Hatcher,4
Shaquille O'Neal,0
Kelsey Grammer,5
Edward Burns,0
Geoffrey Rush,5
Michelle Trachtenberg,4
Dennis Miller,0
Vincent Perez,3
Jeffrey Wright,5
Tim Curry,5
Bruce Ramsay,3
Scarlett Johansson,5
Glen Berry,3
Christopher Eccleston,0
Michael J. Pollard,0
Maggie Cheung,3
Hedy Burress,3
Ben Stiller,5
Jerry O'Connell,0
Melvil Poupaud,3
Giovanni Ribisi,4
Jason Alexander,4
Tom Arnold,0
Hope Davis,3
Martin Lawrence,5
Molly Parker,3
Vincent D'Onofrio,0
Greg Kinnear,5
David Schwimmer,3
Vivian Wu,3
Samuel L. Jackson,5
Theresa Randle,0
Dave Foley,3
Jon Lovitz,4
Steven Soderbergh,0
Colm Meaney,0
Robin Wright,0
Blake Heron,3
Ellen DeGeneres,5
Daniel Bernhardt,3
Jermaine Hopkins,3
Illeana Douglas,0
Matt LeBlanc,0
