writer,writer_score
Robert Foster,0
Mark Spragg,0
Hisashi Nozawa,0
David Rich,0
Gerard Lee,3
Damian Harris,3
Bob Woodward,3
Michael Weller,3
Allan A. Goldstein,3
Ken Wheat,0
Tama Janowitz,3
John Crowther,0
Ildikó Enyedi,0
Paul Bartel,3
Thomas McKelvey Cleaver,3
Pierre Schoendoerffer,0
Alan J. Pakula,3
Barbara Benedek,0
Bobbie Ann Mason,0
John Ehle,3
Isaac Bashevis Singer,0
Steve Ransohoff,0
Dan Lewandowski,3
J.P. Félix,0
Noreen Stone,0
Terrel Seltzer,5
Alan Moskowitz,0
Carlos Fuentes,0
Alan Caillou,3
Georges Simenon,3
Greg Taylor,4
Elizabeth Jane Howard,3
Neil Levy,0
Howard Brookner,0
Alistair MacLean,0
Monte Merrick,4
Scott B. Sowers,0
Fredric Brown,3
John Sacret Young,3
Patrick Sheane Duncan,5
Christopher Doherty,3
Nancy Savoca,3
Alan Ayckbourn,3
Jeremy Pikser,0
Blake Schaffer,3
Nicholas Pileggi,5
Philip K. Dick,5
J.F. Lawton,5
Michael Blake,5
Steven E. de Souza,5
Murray Salem,5
Kevin Eastman,5
Tim Burton,5
Tom Clancy,5
Chester Gould,5
Oliver Sacks,0
Margaret Atwood,3
Barry Gifford,3
Roald Dahl,5
Charles Williams,0
Scott Turow,5
Jim Harrison,5
William Golding,4
Patty Dann,4
Richard Linklater,5
Peter Filardi,5
William Peter Blatty,4
Stefani Warren,4
Scott Alexander,4
Jim Thompson,4
Reginald Hudlin,5
John Fasano,5
John A. Russo,3
Daniel Pyne,5
Carrie Fisher,4
Anaïs Nin,4
Steven McKay,4
Allan Moyle,4
Karin Howard,0
Kim Henkel,5
Alan Dershowitz,4
Robert Martin,0
Dennis McIntyre,0
Michael Grais,4
Catherine Cyran,3
Christopher Robbins,0
John Kostmayer,4
Mark L. Lester,0
David S. Goyer,5
Glenn Savan,4
Abbas Kiarostami,4
Steve MacManus,3
Philip Ridley,3
Chuck Pfarrer,0
Paul Bowles,0
Jonathan Tydor,0
Ian McEwan,5
Karen Leigh Hopkins,5
David Koepp,5
Boaz Yakin,5
Peter Weir,4
Whit Stillman,4
Agnieszka Holland,3
Arthur Miller,0
Anthony Minghella,3
Judith Rascoe,0
Alan Burnett,4
John le Carré,5
Dennis Marks,4
Peter Viertel,0
Jill Mazursky,0
Bob Logan,5
Step Tyner,0
Charles Willeford,4
Jim Sheridan,4
David Thoreau,0
Robert Resnikoff,4
Joseph Hayes,0
Heng Liu,0
Charles Beaumont,0
Claude Klotz,3
Charlie Cohen,4
Gary Paulsen,3
John Cork,3
William Harrison,0
Edgar Allan Poe,0
Evan S. Connell,4
Simon Brett,0
Sarah Bird,0
Brian Aldiss,5
Jonathan Lynn,4
Edwin Torres,4
Janet Frame,3
Pat Barker,0
Steven Long Mitchell,4
Brent Maddock,4
William Kotzwinkle,3
Jim Allen,3
Massimo De Rita,3
Patrick Read Johnson,5
Michael Lehmann,0
James Bond III,3
James D. Parriott,3
Louis Nucéra,3
Julian Mitchell,0
Andy Ruben,3
